JUGADOR,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,MIN,PER,eficiente
Chris Paul,9.4,3.5,4.3,1.2,0.2,0.441,0.34,0.875,1.7,26.8,12.8,0
Kyle Lowry,7.2,3.0,4.1,0.9,0.2,0.387,0.324,0.854,1.5,23.1,11.2,0
Nicolas Batum,5.1,3.7,1.8,0.6,0.4,0.392,0.368,0.806,1.0,20.5,10.5,0
Thaddeus Young,6.3,3.4,1.8,0.7,0.3,0.424,0.333,0.778,1.1,19.0,10.0,0
Jordan Nwora,6.1,2.8,1.1,0.5,0.3,0.413,0.34,0.75,0.9,15.6,9.8,0
Facundo Campazzo,5.2,1.9,3.1,0.5,0.2,0.361,0.312,0.776,1.2,14.3,9.3,0
Josh Okogie,5.3,2.8,0.9,0.5,0.4,0.421,0.303,0.724,0.8,16.2,9.1,0
Damion Lee,5.8,2.1,1.2,0.6,0.2,0.401,0.352,0.765,0.9,17.0,8.9,0
Svi Mykhailiuk,4.9,2.4,0.9,0.4,0.2,0.39,0.338,0.7,0.7,14.3,8.5,0
Xavier Tillman,4.2,3.8,0.8,0.4,0.7,0.491,0.195,0.643,0.8,17.2,8.3,0
Killian Tillie,3.1,2.4,0.6,0.3,0.5,0.442,0.32,0.667,0.6,12.4,7.8,0
Ish Smith,6.2,1.8,3.5,0.7,0.1,0.388,0.285,0.769,1.2,18.0,7.5,0
Stanley Johnson,5.0,3.1,0.9,0.5,0.3,0.396,0.29,0.652,0.8,15.5,7.2,0
Bismack Biyombo,3.5,4.2,0.7,0.4,0.9,0.557,0.0,0.421,0.7,12.1,7.0,0
Trevelin Queen,5.5,2.3,1.0,0.5,0.2,0.427,0.357,0.791,0.8,14.2,7.3,0
Nate Hinton,4.8,2.7,1.1,0.5,0.3,0.424,0.357,0.677,0.7,13.0,7.1,0
Bones Hyland,8.2,2.9,2.8,0.8,0.2,0.405,0.36,0.748,1.4,21.0,10.5,0
Pat Connaughton,8.4,4.0,1.5,0.7,0.4,0.444,0.368,0.82,1.0,22.3,10.2,0
Udonis Haslem,2.1,2.0,0.4,0.1,0.2,0.375,0.286,0.5,0.3,8.0,4.0,0
Georges Niang,7.1,3.1,1.5,0.5,0.2,0.411,0.378,0.833,0.8,19.5,9.3,0
RJ Hampton,6.0,2.8,1.8,0.5,0.2,0.381,0.318,0.689,0.9,16.3,8.8,0
Cody Martin,7.3,3.8,1.5,0.7,0.3,0.416,0.291,0.706,1.0,20.0,9.5,0
Kira Lewis Jr.,6.8,2.2,1.9,0.7,0.2,0.382,0.307,0.744,1.0,17.8,8.7,0
Malcolm Hill,5.4,2.5,0.8,0.5,0.2,0.391,0.321,0.667,0.6,14.0,8.2,0
Jarred Vanderbilt,7.7,5.2,1.8,0.8,0.6,0.468,0.278,0.694,1.1,21.5,11.2,0
Danuel House Jr.,6.1,3.1,1.3,0.5,0.3,0.399,0.324,0.652,0.8,18.3,9.0,0
